iter	Passed	Remaining
0	5	584
1	9	443
2	12	411
3	16	391
4	19	362
5	22	348
6	24	320
7	25	295
8	27	277
9	29	261
10	30	247
11	31	232
12	33	221
13	34	211
14	35	202
15	36	193
16	37	185
17	39	179
18	41	174
19	42	170
20	43	165
21	45	160
22	46	156
23	47	151
24	48	146
25	49	142
26	51	138
27	52	135
28	53	131
29	55	128
30	56	125
31	57	122
32	59	120
33	60	117
34	61	114
35	62	111
36	64	109
37	65	107
38	67	104
39	68	102
40	69	100
41	70	97
42	71	95
43	73	93
44	74	90
45	75	88
46	76	86
47	78	84
48	79	82
49	80	80
50	81	78
51	83	76
52	84	74
53	85	73
54	86	70
55	87	68
56	88	67
57	90	65
58	91	63
59	92	61
60	94	60
61	95	58
62	96	56
63	97	55
64	98	53
65	100	51
66	101	50
67	102	48
68	104	46
69	105	45
70	107	43
71	108	42
72	109	40
73	110	38
74	112	37
75	113	35
76	115	34
77	116	32
78	117	31
79	119	29
80	120	28
81	121	26
82	123	25
83	124	23
84	126	22
85	127	20
86	128	19
87	130	17
88	131	16
89	133	14
90	134	13
91	135	11
92	137	10
93	138	8
94	139	7
95	141	5
96	142	4
97	143	2
98	145	1
99	146	0
